Botevgrad,42.9083,23.7919,Bulgaria,BG,Sofia,,22742,22742
Gotse Delchev,41.5728,23.7294,Bulgaria,BG,Blagoevgrad,,21969,21969
Peshtera,42.0322,24.3022,Bulgaria,BG,Pazardzhik,minor,21824,21824
Karnobat,42.6500,26.9833,Bulgaria,BG,Burgas,,20411,20411
Svilengrad,41.7675,26.1975,Bulgaria,BG,Haskovo,,20390,20390
Momchilgrad,41.5272,25.4075,Bulgaria,BG,Kardzhali,,19609,19609
Panagyurishte,42.5047,24.1892,Bulgaria,BG,Pazardzhik,minor,18350,18350
Popovo,43.3481,26.2275,Bulgaria,BG,Targovishte,,17703,17703
Chirpan,42.1994,25.3242,Bulgaria,BG,Stara Zagora,,17522,17522
Rakovski,42.2875,24.9678,Bulgaria,BG,Plovdiv,,16731,16731
Parvomay,42.0994,25.2242,Bulgaria,BG,Plovdiv,,15518,15518
Provadia,43.1789,27.4431,Bulgaria,BG,Varna,,15095,15095
Berkovitsa,43.2361,23.1258,Bulgaria,BG,Montana,minor,14993,14993
Novi Pazar,43.3500,27.2000,Bulgaria,BG,Shumen,,14931,14931
Radomir,42.5467,22.9642,Bulgaria,BG,Pernik,,14880,14880
Ihtiman,42.4333,23.8167,Bulgaria,BG,Sofia,,14656,14656
Pomorie,42.5586,27.6417,Bulgaria,BG,Burgas,minor,14634,14634
Novi Iskar,42.8031,23.3436,Bulgaria,BG,Sofia,,13768,13768
Nesebar,42.6608,27.7139,Bulgaria,BG,Burgas,minor,13559,13559
Radnevo,42.2886,25.9336,Bulgaria,BG,Stara Zagora,,13554,13554
Balchik,43.4078,28.1622,Bulgaria,BG,Dobrich,minor,13393,13393
Razlog,41.8853,23.4667,Bulgaria,BG,Blagoevgrad,,13158,13158
Byala Slatina,43.4667,23.9333,Bulgaria,BG,Vratsa,,12935,12935
Kozloduy,43.7781,23.7275,Bulgaria,BG,Vratsa,minor,12400,12400
Kavarna,43.4333,28.3389,Bulgaria,BG,Dobrich,minor,12369,12369
Stamboliyski,42.1344,24.5353,Bulgaria,BG,Plovdiv,,12346,12346
Pavlikeni,43.2367,25.3092,Bulgaria,BG,Veliko Tarnovo,,11921,11921
Isperih,43.7156,26.8275,Bulgaria,BG,Razgrad,,11797,11797
Mezdra,43.1425,23.7142,Bulgaria,BG,Vratsa,,11719,11719
Kostinbrod,42.8167,23.2167,Bulgaria,BG,Sofia,,11430,11430
Etropole,42.8333,24.0000,Bulgaria,BG,Sofia,,11292,11292
